brand,textile
Olyset Net,polyethylene
Olyset Plus,polyethylene
Interceptor,polyester
Interceptor G2,polyester
Royal Sentry,polyethylene
Royal Sentry 2.0,polyethylene
Royal Guard,polyethylene
PermaNet 2.0,polyester
PermaNet 3.0,"polyester sides, polyethylene roof"
DuraNet,polyethylene
DuraNet Plus,polyethylene
MiraNet,polyethylene
MAGNet,polyethylene
Veeralin,polyethylene
Yahe,polyester
SafeNet,polyester
Yorkool,polyester
Panda Net 2.0,polyethylene
Tsara Boost (was Dawa 4.0),polyethylene
Tsara,polyethylene
Tsara Soft (was DawaPlus 2.0),polyester
Tsara Plus (was Dawa 3.0),"polyester sides, polyethylene roof"
Reliefnet Reverte,polyester
LifeNet,polypropylene